sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;assignment_vis_START>resource_vis_START>assignment_vis_START>assignment_sub_END;235;690305;584993.1574468085;410;2;235;235;1.25 (+- 0.54);1.5;1.5;2
4;assignment_vis_START>resource_vis_START>assignment_sub_START>assignment_vis_START;191;690305;553767.3089005236;366;2;191;191;1.25 (+- 0.53);1.5;1.5;2
4;assignment_vis_START>resource_vis_START>assignment_sub_START>assignment_sub_END;213;690305;594864.9577464788;388;2;213;213;1.23 (+- 0.53);1.5;1.5;2
4;assignment_vis_START>resource_vis_START>assignment_sub_END>assignment_sub_END;165;690137;589967.2787878788;165;1;165;165;1.28 (+- 0.51);1.5;1.5;2
4;assignment_vis_START>resource_vis_START>resource_vis_END>assignment_sub_END;189;690230;577076.8359788359;189;1;189;189;1.19 (+- 0.54);1.0;1.5;2
4;assignment_vis_START>forum_vis_START>assignment_vis_START>assignment_sub_END;168;690305;580906.5297619047;168;1;168;168;1.29 (+- 0.52);1.5;1.5;2
4;assignment_vis_START>assignment_vis_START>assignment_sub_END>assignment_sub_END;170;690000;592301.9705882353;170;1;170;170;1.31 (+- 0.50);1.5;1.5;2
4;assignment_vis_START>assignment_vis_START>resource_vis_END>assignment_sub_END;173;690230;585982.9190751445;173;1;173;173;1.26 (+- 0.50);1.5;1.5;2
4;assignment_vis_START>assignment_sub_START>assignment_vis_START>assignment_sub_END;207;690305;590258.231884058;382;2;207;207;1.27 (+- 0.52);1.5;1.5;2
4;assignment_vis_START>assignment_vis_END>forum_vis_END>assignment_sub_END;177;690319;579305.3163841808;177;1;177;177;1.27 (+- 0.53);1.5;1.5;2
4;assignment_vis_START>assignment_vis_END>assignment_sub_END>assignment_sub_END;163;690319;585548.7239263804;163;1;163;163;1.26 (+- 0.48);1.5;1.5;2
4;assignment_vis_START>assignment_vis_END>resource_vis_END>assignment_sub_END;255;690319;577459.8196078432;434;2;255;255;1.22 (+- 0.50);1.5;1.5;2
4;assignment_vis_START>resource_vis_END>assignment_sub_END>assignment_sub_END;238;690540;580535.4831932773;402;2;238;238;1.25 (+- 0.49);1.5;1.5;2
4;assignment_try_START>assignment_sub_START>assignment_try_END>assignment_sub_END;165;690230;596444.4181818182;165;1;165;165;1.27 (+- 0.51);1.5;1.0;2
4;assignment_try_START>assignment_sub_START>assignment_vis_START>assignment_sub_END;258;690230;589431.7945736434;258;1;258;258;1.24 (+- 0.51);1.5;1.5;2
4;assignment_try_START>assignment_vis_START>assignment_sub_END>assignment_sub_END;195;690451;599094.1128205128;195;1;195;195;1.29 (+- 0.50);1.5;1.5;2
4;resource_vis_START>assignment_sub_START>assignment_vis_START>assignment_sub_END;307;690305;590102.019543974;664;3;307;307;1.25 (+- 0.53);1.5;1.5;2
4;resource_vis_START>assignment_sub_START>assignment_vis_START>resource_vis_END;182;690249;595342.4395604396;364;2;182;182;1.24 (+- 0.51);1.5;1.5;2
4;resource_vis_START>assignment_sub_START>assignment_sub_END>assignment_sub_END;186;690249;605318.8817204301;186;1;186;186;1.31 (+- 0.51);1.5;1.5;2
4;resource_vis_START>assignment_sub_START>resource_vis_END>assignment_sub_END;223;690249;595463.2242152466;405;2;223;223;1.24 (+- 0.53);1.5;1.5;2
4;resource_vis_START>assignment_vis_START>assignment_sub_END>assignment_sub_END;208;690470;592230.4471153846;208;1;208;208;1.31 (+- 0.50);1.5;1.5;2
4;resource_vis_START>assignment_vis_START>resource_vis_END>assignment_sub_END;225;690470;587856.5955555555;407;2;225;225;1.23 (+- 0.51);1.5;1.5;2
4;resource_vis_START>assignment_vis_START>assignment_try_END>assignment_sub_END;165;690470;587352.6060606061;165;1;165;165;1.25 (+- 0.53);1.0;1.0;2
4;resource_vis_START>assignment_vis_END>resource_vis_END>assignment_sub_END;173;690186;588825.1907514451;173;1;173;173;1.20 (+- 0.52);1.5;1.5;2
4;assignment_vis_END>resource_vis_END>assignment_sub_END>assignment_sub_END;189;690319;462215.962962963;189;1;189;189;1.27 (+- 0.50);1.5;1.5;2
5;assignment_sub_START>assignment_vis_START>assignment_vis_END>resource_vis_END>assignment_sub_END;179;690237;599008.1843575418;179;1;179;179;1.25 (+- 0.48);1.5;1.5;2
5;assignment_sub_START>assignment_vis_START>resource_vis_END>assignment_sub_END>assignment_sub_END;164;690249;607420.4329268293;164;1;164;164;1.24 (+- 0.49);1.5;1.5;2
5;assignment_vis_START>resource_vis_START>assignment_sub_START>assignment_vis_START>assignment_sub_END;175;690305;593065.9428571429;175;1;175;175;1.25 (+- 0.52);1.5;1.5;2
5;resource_vis_START>assignment_sub_START>assignment_vis_START>resource_vis_END>assignment_sub_END;182;690249;595342.4395604396;182;1;182;182;1.24 (+- 0.51);1.5;1.5;2
